"conceptid";"propkey";"propvalue"
"id-7d705b2c3e5f40e6aae26f410c3de569";"Phase";"only tobe"
"id-141e7b135f024097ad60d13d5d8da140";"Phase";"both current & tobe"
"id-131efb4a63b64dfba856359a3107372e";"Phase";"both current & tobe"
"id-fd4ed2a113c843439432949ff952ce9d";"Phase";"both current & tobe"
"id-ad3435751dd14a1a9235f79d63993e3e";"Phase";"both current & tobe"
"id-6d877593be9843499ede290502331cfc";"Phase";"only tobe"
"id-418097bce12b458a82f5e2ca70ac794b";"Phase";"only tobe"
"id-3f2c4c1adcbe4946a532830286481394";"Phase";"only tobe"
"id-08bd78de2a0144b99d046cfa192ec632";"Phase";"both current & tobe"
"id-a5be595de0f143f1ae7642365a5fc70c";"Phase";"both current & tobe"
"id-b55f7efcc5af4110bb975e3e78ad5f5f";"Phase";"both current & tobe"
"id-202d3b594e754eafbb87e74a5c3b839a";"Phase";"both current & tobe"
"id-cb973b71b23e4e72b02cb8c8b519c5f8";"Phase";"only tobe"
"id-b1f02a9e7d884a0988f9cc7d46d5978e";"Capability Level";0
"id-c4be40fce29c4895aac6b4f3136e3fac";"Capability Level";0
"id-811d6f9bc48a46cab19eff2d6dd50827";"Capability Level";0
"id-012e2476e1dc4199bce9332e0f8ca46c";"Capability Level";0
"id-81f31b93e64f4d6faf6ded97a4d21fc2";"Phase";"both current & tobe"
"id-81f31b93e64f4d6faf6ded97a4d21fc2";"Capability Level";0
"id-cf5fd4ecb67f42ec82e197848e2f4847";"Capability Level";0
"id-d03cfe3302cf44d8a8dfdcb2e3182450";"Phase";"both current & tobe"
"id-d03cfe3302cf44d8a8dfdcb2e3182450";"Capability Level";0
"id-ab2df539597f4ae08defc2f6f5cd7ed1";"Capability Level";0
"id-9c8d3a0313e94cdd802cad86cc8d1463";"Capability Level";0
"id-54d7d48035bd4cb98521006e0e4c2a79";"Last Update";"2023-04-01"
"id-54d7d48035bd4cb98521006e0e4c2a79";"Last Updated by";"Xiaoqi Zhao"
"id-a187c7fefcbd4e8b9403377cab9277ef";"Last Update";"2023-04-01"
"id-a187c7fefcbd4e8b9403377cab9277ef";"Last Updated by";"Xiaoqi Zhao"
"id-f4688f312619422594a58673dfbbe371";"Last Update";"2023-04-03"
"id-f4688f312619422594a58673dfbbe371";"Last Updated by";"Xiaoqi Zhao"
"id-466703bc6d0e42c09037bb53a6f905a0";"Last Update";"2023/4/5"
"id-466703bc6d0e42c09037bb53a6f905a0";"Last Updated by";"Xiaoqi Zhao"
"id-70b8113c4d76419b8fa8a6658f8d236f";"Last Update";"2023-04-06"
"id-70b8113c4d76419b8fa8a6658f8d236f";"Last Updated by";"Xiaoqi Zhao"
"id-2225b06e9a0d477c96b843cdbc19d4b5";"Last Update";"2023/4/12"
"id-2225b06e9a0d477c96b843cdbc19d4b5";"Last Updated by";"Xiaoqi Zhao"
"id-c7c26d7b36cb42ccaf8fda65a2579db3";"Last Update";"2023/4/14"
"id-c7c26d7b36cb42ccaf8fda65a2579db3";"Last Updated by";"Xiaoqi Zhao"
"id-758fc793629847b692600d86d02c71d9";"Last Update";"2023/4/16"
"id-758fc793629847b692600d86d02c71d9";"Last Updated by";"Xiaoqi Zhao"
"id-4d21488dd51a415e8bfe99d8dddee5f3";"Last Update";"2023/4/16"
"id-4d21488dd51a415e8bfe99d8dddee5f3";"Last Updated by";"Xiaoqi Zhao"
"id-c6648e15171e4d6fa2431d0c3a510aa3";"Last Update";"2023/4/16"
"id-c6648e15171e4d6fa2431d0c3a510aa3";"Last Updated by";"Xiaoqi Zhao"
