"id";"type";"specialization";"name";"documentation";"sourceid";"targetid"
"id-88ac0af494ab465bbeb6c776f4c9dfc8";"AssociationRelationship";;;;"id-082e83c2ffcc4c91a05f73e56c99ec82";"id-5d4942e3f01a4daba7eb5b35c4953644"
"id-cd6f7bda15734686b0237d83c9a3e339";"AssociationRelationship";;;;"id-82de9bd16c4c407892aa705eddc1261d";"id-5d4942e3f01a4daba7eb5b35c4953644"
"id-ba35161c95504b52a87b568f66721c75";"AssociationRelationship";;;;"id-8c0c34d240a4441da93b8a1644564b9d";"id-5d4942e3f01a4daba7eb5b35c4953644"
"id-031dcd330979473d844079f334dc2e63";"AssociationRelationship";;;;"id-8c0c34d240a4441da93b8a1644564b9d";"id-145b2526247f4f02bfef814812dc92d9"
"id-1010c32b0a8e4bc1bab85990a07de7d6";"AssociationRelationship";;;;"id-bb88c6c14303496d968ffd92ee5404d3";"id-145b2526247f4f02bfef814812dc92d9"
"id-0aadb50fa1294dca84f9f680064c35cd";"AssociationRelationship";;;;"id-f7bad452ecaf4f40a0f9dd7c8d0cd6be";"id-145b2526247f4f02bfef814812dc92d9"
"id-eb507873cbb24645891bfffe4ec2bc32";"AggregationRelationship";;;;"id-82de9bd16c4c407892aa705eddc1261d";"id-97f6696d18a341ee913df7a97a9f4bd0"
"id-1072bbc9c71a43f6bd491dc108cf1799";"AssociationRelationship";;;;"id-97f6696d18a341ee913df7a97a9f4bd0";"id-67892632d0ef42a2b362154c37ec90a9"
"id-c9dd5fb1305e4fa0a3a8fa42f53016c5";"AssociationRelationship";;;;"id-97f6696d18a341ee913df7a97a9f4bd0";"id-6faf1b7ff774435584aefa2727f5ba20"
"id-9125570275ef4c8d8d9aa718be019284";"InfluenceRelationship";;;;"id-8377434cd99543ae9b905acf518b38f9";"id-97f6696d18a341ee913df7a97a9f4bd0"
"id-85656ed62c5140f88e5a25fe2e277455";"InfluenceRelationship";;;;"id-b654149e8b4b49efa79f073473dfc305";"id-97f6696d18a341ee913df7a97a9f4bd0"
"id-fdbe934b327446a4a93feae8d63e8239";"AggregationRelationship";;;;"id-b654149e8b4b49efa79f073473dfc305";"id-778881bc719f43418689c8f1c138d05e"
"id-bc1d8ca5b60248969d1869077269e030";"AggregationRelationship";;;;"id-8377434cd99543ae9b905acf518b38f9";"id-04ae8d4a65a942bc87193162bfbdf710"
"id-cf0311a88c8644f591fad4a9339dab97";"AggregationRelationship";;;;"id-8377434cd99543ae9b905acf518b38f9";"id-d44662d3984845868394da79007de9ab"
"id-b8190c0598f64f7ba62e8267d1a1d98e";"RealizationRelationship";;;;"id-2a1f2097b7b64e9a8c7599ce8d868497";"id-27481cf7c70f47faa792099e2bc0d393"
"id-158d6dd6a304449e84d19bfbc7a72f50";"RealizationRelationship";;;;"id-2a1f2097b7b64e9a8c7599ce8d868497";"id-d44662d3984845868394da79007de9ab"
"id-795e031f309844e69e6a1c20b64f5b5a";"RealizationRelationship";;;;"id-3f21a591224e4e57af8bf54bc2c4821b";"id-d44662d3984845868394da79007de9ab"
"id-7b6cb6f96e6c4ae48c81741fccb3f968";"AssociationRelationship";;;;"id-591f81fc78f44d62a14737921a9487e6";"id-97f6696d18a341ee913df7a97a9f4bd0"
"id-a85b477a97a14b2a8b0a6389e4ccf90d";"InfluenceRelationship";;;;"id-908686ae670943c596a3943039aa13a7";"id-97f6696d18a341ee913df7a97a9f4bd0"
"id-7742008deecd45df9132867fc84fca90";"InfluenceRelationship";;;;"id-8377434cd99543ae9b905acf518b38f9";"id-908686ae670943c596a3943039aa13a7"
"id-19523c7d489b47809c3c577d77b68fef";"InfluenceRelationship";;;;"id-b654149e8b4b49efa79f073473dfc305";"id-908686ae670943c596a3943039aa13a7"
"id-2dc5b0fbd87748e08c87ea8a025a63cd";"AssociationRelationship";;;;"id-ae55f73b5e0f427e8ff2c4227ca776c8";"id-8377434cd99543ae9b905acf518b38f9"
"id-2e02f19244a34f6c84ae34e495b7a576";"InfluenceRelationship";;;;"id-778881bc719f43418689c8f1c138d05e";"id-b654149e8b4b49efa79f073473dfc305"
"id-80c42f8080a94597b2e495c19db6c931";"InfluenceRelationship";;;;"id-54cd19fbc67441de8c0e46a5d583fd86";"id-b654149e8b4b49efa79f073473dfc305"
"id-62e6dbd3876d4ecdb7c709b220580e67";"AssociationRelationship";;;;"id-fc72964ae4d44e449345fb781516fb13";"id-778881bc719f43418689c8f1c138d05e"
"id-8f8832d6db914c729656b7b63259ffdf";"InfluenceRelationship";;;;"id-017f0a4a56654f818d9462ab6355e9b4";"id-54cd19fbc67441de8c0e46a5d583fd86"
"id-81d5a4bb18844bb785f7f5476ee96888";"InfluenceRelationship";;;;"id-5da9126e20754db7b0cb514bf9c76c6a";"id-04ae8d4a65a942bc87193162bfbdf710"
"id-1e582d111d424eebaf92fda818c7323b";"RealizationRelationship";;;;"id-6af1b3e80d4d487aaf97a6e34c830481";"id-017f0a4a56654f818d9462ab6355e9b4"
"id-94fa7b8d2dad41a8a1b883a3e9a38aca";"InfluenceRelationship";;;;"id-6af1b3e80d4d487aaf97a6e34c830481";"id-5da9126e20754db7b0cb514bf9c76c6a"
"id-713612f0750f4c01931fb5d44215fe09";"RealizationRelationship";;;;"id-cc5c4a6120ff42559fb867179bd3e5bf";"id-778881bc719f43418689c8f1c138d05e"
"id-089d669e2ccb46dd8a2565b44d515231";"AssociationRelationship";;;;"id-b7b12713b0a3499188b3302a570392a0";"id-cc5c4a6120ff42559fb867179bd3e5bf"
"id-d97a41dce1bc481e83c4b63e31d29bad";"InfluenceRelationship";;;;"id-3f21a591224e4e57af8bf54bc2c4821b";"id-04ae8d4a65a942bc87193162bfbdf710"
"id-7820330914504022b65b1dd90673271d";"RealizationRelationship";;;;"id-3b2a9fbfa97c46a49d246f567042431c";"id-2a1f2097b7b64e9a8c7599ce8d868497"
"id-72149898469548bd87358f70ec1e210c";"RealizationRelationship";;;;"id-c7429e7256dd45779e04094470dac4b8";"id-3f21a591224e4e57af8bf54bc2c4821b"
"id-d1cd2ed093754238a509348f1cadbbf5";"InfluenceRelationship";;;;"id-3b2a9fbfa97c46a49d246f567042431c";"id-3f21a591224e4e57af8bf54bc2c4821b"
"id-fd7dd8d0529345afb6be54f728af4e75";"AggregationRelationship";;;;"id-c7429e7256dd45779e04094470dac4b8";"id-bbd0385f84594601823b9f1006bfd621"
"id-5a5c9f720b854f42ad444f306d06aec9";"AggregationRelationship";;;;"id-c7429e7256dd45779e04094470dac4b8";"id-8ef1fdc0777a4403a4801d86abb0ea80"
"id-c4b1a54a5898415aa1b1fc5e5de82144";"AssociationRelationship";;;;"id-97f6696d18a341ee913df7a97a9f4bd0";"id-5d4942e3f01a4daba7eb5b35c4953644"
"id-889768b5000e40b4abeff6fff2fa2bc6";"InfluenceRelationship";;"+";;"id-2644afb2957b421ba319d54fe8b9ec2b";"id-b654149e8b4b49efa79f073473dfc305"
"id-74b303f16fd641609034a0b328613635";"InfluenceRelationship";;"+";;"id-b4bdcbd643ab4e498c6bf77e28cd3734";"id-2644afb2957b421ba319d54fe8b9ec2b"
"id-181993ba3ed34f8087ea2976ac768297";"RealizationRelationship";;;;"id-0423312257334874890e922d9518907c";"id-b4bdcbd643ab4e498c6bf77e28cd3734"
"id-379cf44ffc4440d9ae82340bae208fd2";"RealizationRelationship";;;;"id-dd7c6a22e1a445fc9fc6ece93f9cfd91";"id-0423312257334874890e922d9518907c"
